笔记ID,标题,作者,点赞数,详情链接
69452d4a000000001e009bec,选对差旅平台，到底看什么？,特价商务舱-Latin,赞,https://www.xiaohongshu.com/explore/69452d4a000000001e009bec
694108b5000000001b032d70,企业差旅机票月结服务，应该怎么选？,A亨通商旅服务,1,https://www.xiaohongshu.com/explore/694108b5000000001b032d70
69495c050000000019027f2c,2025年要结账了，财务人员需要注意什么,梦雨呀,3,https://www.xiaohongshu.com/explore/69495c050000000019027f2c
6948ca6c000000001e034a71,普及一下做账顺序,财务齐临,34,https://www.xiaohongshu.com/explore/6948ca6c000000001e034a71
694a63ff000000001e0141a5,年初见分晓的合理税负优化方法！,高见财税,赞,https://www.xiaohongshu.com/explore/694a63ff000000001e0141a5
692944f4000000001d039b8f,这些发票不要丢都可以抵税！！！,财税小沈,7,https://www.xiaohongshu.com/explore/692944f4000000001d039b8f
69422120000000000d03e81f,出差机票能不能抵税？会计姐妹看过来！,顶科万事屋丨代理记账,4,https://www.xiaohongshu.com/explore/69422120000000000d03e81f
693835b9000000000d0376de,,Lisa的税税念,6,https://www.xiaohongshu.com/explore/693835b9000000000d0376de
6740620e000000000202aa09,推广爆发利器，【自动提预算玩法】解析！,做京东的黄同学,5,https://www.xiaohongshu.com/explore/6740620e000000000202aa09
67356f9e000000003c016dde,微企易租-汽车租赁管理系统,微企数科数字化,3,https://www.xiaohongshu.com/explore/67356f9e000000003c016dde
69474014000000001f0043fa,给大家普及一下，会计做账的顺序❗❗,悦竹（备考税务师）,30,https://www.xiaohongshu.com/explore/69474014000000001f0043fa
69256796000000001e016cc3,成本票vs费用票企业管理必看知识！,济南公司注册万领企服,1,https://www.xiaohongshu.com/explore/69256796000000001e016cc3
694515fe000000001e0062be,,苏州长玖财税A,1,https://www.xiaohongshu.com/explore/694515fe000000001e0062be
6948f4c0000000001e00817e,怎么开发票,关注我開*驃不迷路,赞,https://www.xiaohongshu.com/explore/6948f4c0000000001e00817e
6947db89000000001e00c756,会计做账的顺序,财税&油菜花,18,https://www.xiaohongshu.com/explore/6947db89000000001e00c756
693ab530000000001b024fdc,差旅费报销中存在的问题 ——存在接待单位,楚宁教体制内财务,37,https://www.xiaohongshu.com/explore/693ab530000000001b024fdc
693ce7af000000001e00edae,财政部回复：出差住宿费报销限额,心雨m7y,5,https://www.xiaohongshu.com/explore/693ce7af000000001e00edae
